100
0.000000	inf
0.101010	10.000838
0.202020	5.150649
0.303030	3.598414
0.404040	2.868137
0.505051	2.463852
0.606061	2.219634
0.707071	2.063895
0.808081	1.960463
0.909091	1.888945
1.010101	1.836886
1.111111	1.796192
1.212121	1.761363
1.313131	1.728526
1.414141	1.694898
1.515152	1.658452
1.616162	1.617721
1.717172	1.571659
1.818182	1.519556
1.919192	1.460974
2.020202	1.395705
2.121212	1.323736
2.222222	1.245220
2.323232	1.160461
2.424242	1.069890
2.525253	0.974053
2.626263	0.873591
2.727273	0.769234
2.828283	0.661780
2.929293	0.552088
3.030303	0.441060
3.131313	0.329634
3.232323	0.218769
3.333333	0.109432
3.434343	0.002589
3.535354	-0.100807
3.636364	-0.199830
3.737374	-0.293588
3.838384	-0.381234
3.939394	-0.461976
4.040404	-0.535088
4.141414	-0.599911
4.242424	-0.655870
4.343434	-0.702472
4.444444	-0.739317
4.545455	-0.766099
4.646465	-0.782610
4.747475	-0.788746
4.848485	-0.784503
4.949495	-0.769981
5.050505	-0.745381
5.151515	-0.711006
5.252525	-0.667254
5.353535	-0.614618
5.454545	-0.553679
5.555556	-0.485102
5.656566	-0.409624
5.757576	-0.328056
5.858586	-0.241266
5.959596	-0.150175
6.060606	-0.055746
6.161616	0.041025
6.262626	0.139120
6.363636	0.237507
6.464646	0.335154
6.565657	0.431038
6.666667	0.524151
6.767677	0.613520
6.868687	0.698206
6.969697	0.777321
7.070707	0.850035
7.171717	0.915583
7.272727	0.973275
7.373737	1.022499
7.474747	1.062732
7.575758	1.093545
7.676768	1.114602
7.777778	1.125669
7.878788	1.126615
7.979798	1.117412
8.080808	1.098135
8.181818	1.068963
8.282828	1.030178
8.383838	0.982157
8.484848	0.925374
8.585859	0.860392
8.686869	0.787859
8.787879	0.708499
8.888889	0.623106
8.989899	0.532537
9.090909	0.437701
9.191919	0.339551
9.292929	0.239076
9.393939	0.137285
9.494949	0.035205
9.595960	-0.066136
9.696970	-0.165718
9.797980	-0.262537
9.898990	-0.355617
10.000000	-0.444021
