25 
0.000000 0.000000 0.000000
0.000000 0.250000 0.000000
0.000000 0.500000 0.000000
0.000000 0.750000 0.000000
0.000000 1.000000 0.000000
0.250000 0.000000 0.000000
0.250000 0.250000 -0.045286
0.250000 0.500000 -0.057335
0.250000 0.750000 -0.045286
0.250000 1.000000 -0.000000
0.500000 0.000000 0.000000
0.500000 0.250000 -0.057335
0.500000 0.500000 -0.073672
0.500000 0.750000 -0.057335
0.500000 1.000000 -0.000000
0.750000 0.000000 0.000000
0.750000 0.250000 -0.045286
0.750000 0.500000 -0.057335
0.750000 0.750000 -0.045286
0.750000 1.000000 -0.000000
1.000000 0.000000 0.000000
1.000000 0.250000 -0.000000
1.000000 0.500000 -0.000000
1.000000 0.750000 -0.000000
1.000000 1.000000 -0.000000
